cum-Cases;Cases;cum-Deaths;Deaths;DateRep
1;1;0;0;26/02/2020
1;0;0;0;27/02/2020
1;0;0;0;28/02/2020
2;1;0;0;29/02/2020
2;0;0;0;01/03/2020
2;0;0;0;02/03/2020
2;0;0;0;03/03/2020
3;1;0;0;04/03/2020
7;4;0;0;05/03/2020
13;6;0;0;06/03/2020
19;6;0;0;07/03/2020
25;6;0;0;08/03/2020
25;0;0;0;09/03/2020
34;9;0;0;10/03/2020
52;18;0;0;11/03/2020
77;25;0;0;12/03/2020
98;21;0;0;13/03/2020
121;23;0;0;14/03/2020
200;79;0;0;15/03/2020
234;34;0;0;16/03/2020
291;57;1;1;17/03/2020
428;137;4;3;18/03/2020
621;193;6;2;19/03/2020
904;283;11;5;20/03/2020
1128;224;18;7;21/03/2020
1546;418;25;7;22/03/2020
1891;345;34;9;23/03/2020
2201;310;46;12;24/03/2020
2433;232;57;11;25/03/2020
2915;482;77;20;26/03/2020
3417;502;92;15;27/03/2020
3903;486;114;22;28/03/2020
4256;353;136;22;29/03/2020
4579;323;159;23;30/03/2020
5717;1138;201;42;31/03/2020
6834;1117;241;40;01/04/2020
7910;1076;299;58;02/04/2020
9056;1146;359;60;03/04/2020
10278;1222;432;73;04/04/2020
11130;852;486;54;05/04/2020
