regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;RR;2020-03-22;2;2;0;0
Norte;RR;2020-03-23;0;2;0;0
Norte;RR;2020-03-24;0;2;0;0
Norte;RR;2020-03-25;6;8;0;0
Norte;RR;2020-03-26;0;8;0;0
Norte;RR;2020-03-27;2;10;0;0
Norte;RR;2020-03-28;2;12;0;0
Norte;RR;2020-03-29;4;16;0;0
Norte;RR;2020-03-30;0;16;0;0
Norte;RR;2020-03-31;0;16;0;0
Norte;RR;2020-04-01;6;22;0;0
Norte;RR;2020-04-02;4;26;0;0
Norte;RR;2020-04-03;4;30;0;0
Norte;RR;2020-04-04;7;37;1;1
Norte;RR;2020-04-05;5;42;0;1
Norte;RR;2020-04-06;0;42;0;1
Norte;RR;2020-04-07;0;42;0;1
Norte;RR;2020-04-08;7;49;0;1
Norte;RR;2020-04-09;3;52;0;1
Norte;RR;2020-04-10;11;63;2;3
Norte;RR;2020-04-11;12;75;0;3
Norte;RR;2020-04-12;4;79;0;3
Norte;RR;2020-04-13;4;83;0;3
Norte;RR;2020-04-14;30;113;0;3
Norte;RR;2020-04-15;1;114;0;3
Norte;RR;2020-04-16;28;142;0;3
Norte;RR;2020-04-17;22;164;0;3
