;Estado;max_cases;diamax;datamax
0;AC;3.0;0;2020-03-19
1;AL;61.40063903313967;395;2021-04-07
2;AM;1571.2198284253227;50;2020-05-04
3;AP;63521.33092494856;80;2020-06-08
4;BA;2406.488790199721;104;2020-06-18
5;Brasil;16223.085421604104;154;2020-07-29
6;CE;3344.9190533839865;386;2021-04-07
7;DF;50.98526326162755;65;2020-05-11
8;ES;606.0765979735588;101;2020-06-15
9;GO;475.16264243236947;237;2020-11-05
10;MA;73.14218207275826;27;2020-04-17
11;MG;14431.611386687495;395;2021-04-07
12;MS;14.11420165294976;387;2021-04-07
13;MT;8.644064074095702;16;2020-04-05
14;PA;10136.857435744489;74;2020-06-01
15;PB;171.90549917093085;384;2021-04-07
16;PE;730.3772836217304;63;2020-05-14
17;PI;3.9660576300823323;223;2020-10-29
18;PR;2071.251556638548;85;2020-06-05
19;RJ;2864.743614762803;100;2020-06-13
20;RN;1764.393336834637;66;2020-05-18
21;RO;11.374223445853659;383;2021-04-07
22;RR;164.46509559072;381;2021-04-07
23;RS;489.24145688465796;283;2020-12-18
24;SC;593.8240385155805;390;2021-04-07
25;SE;2.189975642670902;388;2021-04-07
26;SP;572024.4933277946;154;2020-07-29
27;TO;1.0;0;2020-03-19
