;r;p;K;alfa;NSE;RMSE;MARE;Estado
0;0.929809613;0.377378273;358989.8547;3.462929984;0.949178925;7.386916229;0.114936542;AC
1;0.122327532;0.97253418;120923.3625;4.145027901;0.980176331;3.709884046;0.102056273;AL
2;0.770851442;0.724822435;111997.6781;5.981688106;0.992669801;48.42995529;0.070706147;AM
3;0.361549287;0.841097916;12983.06483;4.694644735;0.972755756;20.34696528;0.166510765;AP
4;0.474694462;0.734186181;676015.5818;9.695545876;0.995108294;20.77776376;0.061827508;BA
5;0.728594731;0.792448949;32433900.65;4.848033267;0.997201357;492.8486249;0.054152116;Brazil
6;1.717059185;0.599683212;1443598.01;2.642811668;0.995179397;53.63324365;0.054063141;CE
7;1.749211552;0.445812679;296861.461;0.50377474;0.9879959;26.79545148;0.078212854;DF
8;0.188793788;0.950650358;51383.82926;5.820885209;0.988984188;21.46069941;0.095330307;ES
9;0.284611932;0.8;71349.10033;9.72126433;0.994135733;7.628840804;0.058696841;GO
10;0.564470873;0.779165725;3162702.38;3.955195626;0.996188245;14.14423653;0.045805022;MA
11;0.957737892;0.598154609;9456837.483;3.955195626;0.995011445;22.87100494;0.060273441;MG
12;1.285328793;0.448119241;92368.97623;0.11748715;0.994429896;3.027676579;0.040353072;MS
13;0.686140084;0.613610956;297154.4832;0.225952693;0.982450903;7.235740996;0.084829247;MT
14;0.37606834;0.841848432;716083.5989;0.411907227;0.991596128;13.3277831;0.070619518;PA
15;0.257175158;0.875246927;275341.9144;7.603473455;0.993112849;4.499901384;0.071540803;PB
16;0.387652066;0.836791992;1524338.193;2.927870547;0.969882408;91.57571889;0.179484595;PE
17;0.183077091;0.84822423;85525.02336;2.219213934;0.954506299;5.403795463;0.124859183;PI
18;0.522084233;0.720693063;1440297.36;2.891707852;0.974092596;47.4810576;0.10922915;PR
19;0.639887409;0.756869442;432786.6494;7.704981583;0.998670353;45.64442417;0.032349073;RJ
20;0.751390915;0.60199371;257122.0132;4.567090852;0.970277918;25.02191279;0.14228894;RN
21;0.17189502;0.970256763;80653.9184;4.6938384;0.985702259;2.907563585;0.103777724;RO
22;0.309957639;0.795595646;97716.78147;5.956671827;0.982692686;5.721682474;0.100413005;RR
23;1.592100719;0.485838022;444307.4341;0.987128421;0.989013558;28.08839853;0.076512173;RS
24;1.021249708;0.601927116;1524273.188;2.432255775;0.986245497;35.04897762;0.079597323;SC
25;0.832175832;0.237362147;307061.6371;0.262999634;0.983230994;1.986734426;0.069343196;SE
26;0.609527322;0.784534063;1872241.342;3.69945791;0.990067776;363.4446311;0.097653532;SP
27;0.645048779;0.182134143;355406.93;1.157579414;0.982623802;1.179358908;0.062381713;TO
